Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.090
Comp. Cola Columna,Au 242.80,0.006
Barren,Au 242.80,0.012
Cabeza puntual retorno,Au 242.80,0.092
Celda # 11-A,Au 242.80,0.050
Celda # 11-B,Au 242.80,0.003
Celda # 11-C,Au 242.80,0.007
Celda #5-9,Au 242.80,0.044
Celda #(F1+F2),Au 242.80,0.090
NE Tubo 1,Au 242.80,0.008
NE Tubo 2,Au 242.80,0.083
NE Tubo 4,Au 242.80,0.051
NE Tubo 5,Au 242.80,0.037
NE Tubo 6,Au 242.80,0.026
NE Tubo 7,Au 242.80,0.055
Puntual Noroeste,Au 242.80,0.090
Barren Patios,Au 242.80,0.012
Tubo 3,Au 242.80,0.185
Especial 1,Au 242.80,0.059
Especial 2,Au 242.80,0.046
Especial 3,Au 242.80,0.006
Especial 4,Au 242.80,0.010
Especial 5,Au 242.80,0.055
Columna #1,Au 242.80,0.070
Columna #2,Au 242.80,0.051
Columna #3,Au 242.80,0.030
Columna #5,Au 242.80,0.015
