Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.288
Cabeza puntual retorno,Cu 324.75,0.268
Celda #(F1+F2),Cu 324.75,0.231
Puntual Noroeste,Cu 324.75,0.239
Tubo 3,Cu 324.75,0.387
Comp. Cola Columna,Cu 324.75,0.212
Barren,Cu 324.75,0.375
Celda # 11-A,Cu 324.75,0.123
Celda # 11-B,Cu 324.75,0.052
Celda # 11-C,Cu 324.75,0.082
Celda # 6-F2,Cu 324.75,0.195
Celda #5-9,Cu 324.75,0.331
NE Tubo 1,Cu 324.75,0.019
NE Tubo 2,Cu 324.75,0.035
NE Tubo 4,Cu 324.75,0.030
NE Tubo 5,Cu 324.75,0.017
NE Tubo 6,Cu 324.75,0.013
NE Tubo 7,Cu 324.75,0.791
Barren Patios,Cu 324.75,0.349
Especial 1,Cu 324.75,0.023
Especial 2,Cu 324.75,0.018
Especial 3,Cu 324.75,0.152
Especial 4,Cu 324.75,0.154
Especial 5,Cu 324.75,0.039
