Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.532
Cabeza puntual retorno,Cu 324.75,0.547
Celda #(F1+F2),Cu 324.75,0.201
Puntual Noroeste,Cu 324.75,0.108
Tubo 3,Cu 324.75,0.117
NE Tubo 2,Cu 324.75,0.146
NE Tubo 4,Cu 324.75,0.168
Especial 1,Cu 324.75,0.138
Especial 2,Cu 324.75,0.496
Especial 3,Cu 324.75,0.083
Especial 4,Cu 324.75,0.076
Especial 5,Cu 324.75,7.298
Columna #1,Cu 324.75,0.558
Columna #2,Cu 324.75,0.552
Columna #3,Cu 324.75,0.581
Columna #4,Cu 324.75,0.713
Columna #5,Cu 324.75,0.577
Comp. Cola Columna,Cu 324.75,0.46
Barren,Cu 324.75,0.557
Barren Patios,Cu 324.75,0.53
NE Tubo 1,Cu 324.75,0.031
NE Tubo 5,Cu 324.75,0.05
NE Tubo 6,Cu 324.75,0.047
NE Tubo 7,Cu 324.75,0.098
Celda # 11-A,Cu 324.75,0.204
Celda # 11-B,Cu 324.75,1.817
Celda # 11-C,Cu 324.75,4.097
Celda #5-9,Cu 324.75,0.198
