Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.826
Comp. Cola Columna,Cu 324.75,0.827
Barren,Cu 324.75,0.943
Cabeza puntual retorno,Cu 324.75,0.832
Celda # 11-A,Cu 324.75,0.666
Celda # 11-B,Cu 324.75,0.169
Celda # 11-C,Cu 324.75,0.116
Celda # 6-F2,Cu 324.75,0.112
Celda #5-9,Cu 324.75,0.062
Celda #(F1+F2),Cu 324.75,0.888
NE Tubo 1,Cu 324.75,0.031
NE Tubo 2,Cu 324.75,0.162
NE Tubo 4,Cu 324.75,0.11
NE Tubo 5,Cu 324.75,0.071
NE Tubo 6,Cu 324.75,0.062
NE Tubo 7,Cu 324.75,1.706
Puntual Noroeste,Cu 324.75,0.681
Barren Patios,Cu 324.75,0.701
Tubo 3,Cu 324.75,1.772
Especial 1,Cu 324.75,0.088
Especial 2,Cu 324.75,0.047
Especial 3,Cu 324.75,0.53
Especial 4,Cu 324.75,1.253
Especial 5,Cu 324.75,0.081
