Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.233
Cabeza puntual retorno,Cu 324.75,0.399
Celda # 11-A,Cu 324.75,0.408
Puntual Noroeste,Cu 324.75,0.499
Tubo 3,Cu 324.75,0.541
Comp. Cola Columna,Cu 324.75,0.392
Barren,Cu 324.75,0.462
Celda # 11-A,Cu 324.75,0.101
Celda # 11-B,Cu 324.75,0.094
Celda # 11-C,Cu 324.75,0.086
Celda #5-9,Cu 324.75,0.067
NE Tubo 1,Cu 324.75,0.203
NE Tubo 2,Cu 324.75,0.092
NE Tubo 4,Cu 324.75,0.122
NE Tubo 5,Cu 324.75,0.058
NE Tubo 6,Cu 324.75,0.067
NE Tubo 7,Cu 324.75,5.054
Barren Patios,Cu 324.75,0.310
Especial 1,Cu 324.75,0.077
Especial 2,Cu 324.75,0.074
Especial 3,Cu 324.75,0.126
Especial 4,Cu 324.75,0.109
Especial 5,Cu 324.75,0.268
Columna #1,Cu 324.75,0.332
Columna #2,Cu 324.75,0.297
Columna #3,Cu 324.75,0.286
Columna #4,Cu 324.75,0.280
Columna #5,Cu 324.75,0.260
