Analista,JCAN,,,,,,,,,
Fecha de inicio,16/01/2023 10:19 a. m.  GMT: 16/01/2023 04:19 p. m.,,,,,,,,,
Hoja de trabajo,SA000046_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,CERO CAL,0,,mg/L,>100,0,0.0005,0.0002,0.0004,-0.0005
,PATRÓN 1,0.5,,mg/L,3.9,0.0124,0.0007,0.0125,0.0129,0.0119
,PATRÓN 2,1,,mg/L,2.1,0.0252,0.001,0.0246,0.0253,0.0257
,PATRÓN 3,2,,mg/L,1.8,0.0523,-0.0002,0.0513,0.0531,0.0526
,PATRÓN 4,5,,mg/L,1.4,0.1323,0.0002,0.1305,0.1323,0.1342
,PATRÓN 5,10,,mg/L,1.1,0.2569,0.0003,0.2538,0.2581,0.2589
,BLANCO,0.013,,mg/L,71.9,0.0003,-0.0004,0.0003,0.0001,0.0006
,BLANCO REACTIVO,0,,mg/L,74.8,0.0007,-0.0005,0.0003,0.0012,0.0005
,PATRON,0.503,,mg/L,3.8,0.0126,-0.0009,0.0131,0.0127,0.0121
,SA000017-004,0.1134,,mg/L,2.4,0.0122,-0.0013,0.0122,0.0125,0.0119
,SA000017-008,1.0032,,mg/L,2.2,0.114,-0.0006,0.1112,0.116,0.1147
,SA000019-013,0.171,,mg/L,7.4,0.0184,-0.001,0.0196,0.0187,0.017
,SA000023-017,0.1404,,mg/L,9.6,0.0152,0.0004,0.014,0.0168,0.0147
,SA000023-018,0.0957,,mg/L,5.5,0.0103,0.0001,0.0097,0.0104,0.0108
,PATRON,0.5178,,mg/L,5.6,0.013,-0.0011,0.0128,0.0138,0.0123
,SA000023-019,0.1126,,mg/L,2,0.0121,-0.0006,0.0121,0.0124,0.0119
,SA000023-020,0.0965,,mg/L,1.7,0.0104,-0.0004,0.0102,0.0104,0.0105
,SA000023-021,0.0073,,mg/L,11.6,0.0008,-0.0008,0.0009,0.0007,0.0008
,SA000023-022,0.4905,,mg/L,0.6,0.0544,-0.0011,0.054,0.0545,0.0546
,PATRON,0.5038,,mg/L,2.5,0.0126,-0.0005,0.0123,0.0129,0.0128
,BLANCO,,,mg/L,,,,,,
