Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.062
Cabeza puntual retorno,Au 242.80,0.061
Celda #(F1+F2),Au 242.80,0.062
Puntual Noroeste,Au 242.80,0.05
Tubo 3,Au 242.80,0.058
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.01
Celda # 11-A,Au 242.80,0.047
Celda # 11-B,Au 242.80,0.064
Celda # 11-C,Au 242.80,0.084
Celda #5-9,Au 242.80,0.172
NE Tubo 1,Au 242.80,0.044
NE Tubo 2,Au 242.80,0.04
NE Tubo 4,Au 242.80,0.046
NE Tubo 5,Au 242.80,0.059
NE Tubo 6,Au 242.80,0.074
NE Tubo 7,Au 242.80,0.052
Barren Patios,Au 242.80,0.013
Especial 1,Au 242.80,0.122
Especial 2,Au 242.80,0.079
Especial 3,Au 242.80,0.011
Especial 4,Au 242.80,0.057
Especial 5,Au 242.80,0.076
Columna #1,Au 242.80,0.054
Columna #2,Au 242.80,0.036
Columna #3,Au 242.80,0.029
Columna #4,Au 242.80,0.014
Columna #5,Au 242.80,0.005
