Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.084
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.008
Cabeza puntual retorno,Au 242.80,0.088
Celda # 11-A,Au 242.80,0.048
Celda # 11-B,Au 242.80,0.007
Celda # 11-C,Au 242.80,0.009
Celda # 6-F2,Au 242.80,0.144
Celda #5-9,Au 242.80,0.048
Celda #(F1+F2),Au 242.80,0.094
NE Tubo 1,Au 242.80,0.009
NE Tubo 2,Au 242.80,0.085
NE Tubo 4,Au 242.80,0.052
NE Tubo 5,Au 242.80,0.025
NE Tubo 6,Au 242.80,0.013
NE Tubo 7,Au 242.80,0.027
Puntual Noroeste,Au 242.80,0.08
Barren Patios,Au 242.80,0.008
Tubo 3,Au 242.80,0.163
Especial 1,Au 242.80,0.062
Especial 2,Au 242.80,0.048
Especial 3,Au 242.80,0.001
Especial 4,Au 242.80,0.009
Especial 5,Au 242.80,0.067
Especial 6,Au 242.80,0.002
