Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.167
Comp. Cola Columna,Au 242.80,0.005
Barren,Au 242.80,0.005
Cabeza puntual retorno,Au 242.80,0.156
Celda # 11-A,Au 242.80,0.099
Celda # 11-B,Au 242.80,0.053
Celda # 11-C,Au 242.80,0.02
Celda # 6-F2,Au 242.80,0.063
Celda #5-9,Au 242.80,0.061
Celda #(F1+F2),Au 242.80,0.162
NE Tubo 1,Au 242.80,0.001
NE Tubo 2,Au 242.80,0.118
NE Tubo 4,Au 242.80,0.291
NE Tubo 5,Au 242.80,0.326
NE Tubo 6,Au 242.80,0.243
NE Tubo 7,Au 242.80,0.109
Puntual Noroeste,Au 242.80,0.18
Barren Patios,Au 242.80,0.009
Tubo 3,Au 242.80,0.097
Especial 1,Au 242.80,0.036
Especial 2,Au 242.80,0.058
Especial 3,Au 242.80,0.034
Especial 4,Au 242.80,0.026
Especial 5,Au 242.80,0.064
Especial 6,Au 242.80,0.03
