Sample ID,Analyte Name,Reported Conc (Samp),
Comp. Cabeza Columna,Au 242.80,0.161,
Comp. Cola Columna,Au 242.80,0.010,
Barren,Au 242.80,0.011,
Cabeza puntual retorno,Au 242.80,0.162,
Celda # 11-A,Au 242.80,0.080,
Celda # 11-B,Au 242.80,0.219,
Celda # 11-C,Au 242.80,0.119,
Celda #(F1+F2),Au 242.80,0.162,
Celda #5-9,Au 242.80,0.009,
NE Tubo 1,Au 242.80,0.148,
NE Tubo 2,Au 242.80,0.096,
NE Tubo 4,Au 242.80,0.161,
NE Tubo 5,Au 242.80,0.087,
NE Tubo 6,Au 242.80,0.034,
Especial 7,Au 242.80,0.154,
Puntual Noroeste,Au 242.80,0.163,
Tubo 3,Au 242.80,0.231,
Especial 1,Au 242.80,0.049,
Especial 2,Au 242.80,0.018,
Especial 3,Au 242.80,0.021,
Especial 4,Au 242.80,0.023,
Especial 5,Au 242.80,0.025,
Columna #1,Au 242.80,0.123,
Columna #2,Au 242.80,0.084,
Columna #3,Au 242.80,0.055,
Columna #4,Au 242.80,0.028,
Columna #5,Au 242.80,0.006,
