Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.756
Comp. Cola Columna,Cu 324.75,1.67
Barren,Cu 324.75,1.649
Cabeza puntual retorno,Cu 324.75,1.697
Celda # 11-A,Cu 324.75,0.241
Celda # 11-B,Cu 324.75,0.025
Celda # 11-C,Cu 324.75,0.012
Celda # 6-F2,Cu 324.75,0.022
Celda #5-9,Cu 324.75,0.82
Celda #(F1+F2),Cu 324.75,1.989
NE Tubo 1,Cu 324.75,0.022
NE Tubo 2,Cu 324.75,0.215
NE Tubo 4,Cu 324.75,1.106
NE Tubo 5,Cu 324.75,2.139
NE Tubo 6,Cu 324.75,6.818
NE Tubo 7,Cu 324.75,0.814
Puntual Noroeste,Cu 324.75,1.999
Barren Patios,Cu 324.75,1.71
Tubo 3,Cu 324.75,1.318
Especial 1,Cu 324.75,0.044
Especial 2,Cu 324.75,0.028
Especial 3,Cu 324.75,0.256
Especial 4,Cu 324.75,1.286
Especial 5,Cu 324.75,0.046
