Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,1.41
Comp. Cola Columna,Cu 324.75,0.727
Barren,Cu 324.75,0.801
Cabeza puntual retorno,Cu 324.75,1.441
Celda # 11-A,Cu 324.75,7.706
Celda # 11-B,Cu 324.75,0.985
Celda # 11-C,Cu 324.75,0.892
Celda #5-9,Cu 324.75,0.869
Celda #(F1+F2),Cu 324.75,1.307
NE Tubo 1,Cu 324.75,0.135
NE Tubo 2,Cu 324.75,1.297
NE Tubo 4,Cu 324.75,2.851
NE Tubo 5,Cu 324.75,1.293
NE Tubo 6,Cu 324.75,0.643
NE Tubo 7,Cu 324.75,0.809
Puntual Noroeste,Cu 324.75,1.282
Barren Patios,Cu 324.75,0.809
Tubo 3,Cu 324.75,0.467
Especial 1,Cu 324.75,0.424
Especial 2,Cu 324.75,0.193
Especial 3,Cu 324.75,0.356
Especial 4,Cu 324.75,0.411
Especial 5,Cu 324.75,3.073
Columna #1,Cu 324.75,1.236
Columna #2,Cu 324.75,1.061
Columna #3,Cu 324.75,0.908
Columna #4,Cu 324.75,0.872
Columna #5,Cu 324.75,0.822
Especial 6,Cu 324.75,3.375
