Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.147
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.013
Cabeza puntual retorno,Au 242.80,0.144
Celda # 11-A,Au 242.80,0.105
Celda # 11-B,Au 242.80,0.019
Celda # 11-C,Au 242.80,0.014
Celda # 6-F2,Au 242.80,0.023
Celda #5-9,Au 242.80,0.021
Celda #(F1+F2),Au 242.80,0.159
NE Tubo 1,Au 242.80,0.004
NE Tubo 2,Au 242.80,0.217
NE Tubo 4,Au 242.80,0.167
NE Tubo 5,Au 242.80,0.174
NE Tubo 6,Au 242.80,0.214
NE Tubo 7,Au 242.80,0.058
Puntual Noroeste,Au 242.80,0.163
Barren Patios,Au 242.80,0.02
Tubo 3,Au 242.80,0.167
Especial 1,Au 242.80,0.085
Especial 2,Au 242.80,0.07
Especial 3,Au 242.80,0.039
Especial 4,Au 242.80,0.036
Especial 5,Au 242.80,0.037
Especial 6,Au 242.80,0.009
