Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.284
Comp. Cola Columna,Ag 328.07,0.138
Barren,Ag 328.07,0.172
Cabeza puntual retorno,Ag 328.07,0.291
Celda # 11-A,Ag 328.07,0.029
Celda # 11-B,Ag 328.07,0.026
Celda # 11-C,Ag 328.07,0.031
Celda # 6-F2,Ag 328.07,0.138
Celda #5-9,Ag 328.07,0.079
Celda #(F1+F2),Ag 328.07,0.317
NE Tubo 1,Ag 328.07,0.439
NE Tubo 2,Ag 328.07,0.052
NE Tubo 4,Ag 328.07,0.173
NE Tubo 5,Ag 328.07,0.027
NE Tubo 6,Ag 328.07,0.022
NE Tubo 7,Ag 328.07,1.175
Puntual Noroeste,Ag 328.07,0.371
Barren Patios,Ag 328.07,0.143
Tubo 3,Ag 328.07,0.517
Especial 1,Ag 328.07,0.046
Especial 2,Ag 328.07,0.161
Especial 3,Ag 328.07,0.042
Especial 4,Ag 328.07,0.03
Especial 5,Ag 328.07,0.09
