Sample ID,Analyte Name,Reported Conc (Calib)
Columna #1,Cu 324.75,10.71
Columna #2,Cu 324.75,10.9
Columna #3,Cu 324.75,10.77
Columna #4,Cu 324.75,10.71
Columna #5,Cu 324.75,10.55
Comp. Cabeza Columna,Cu 324.75,10.13
Comp. Cola Columna,Cu 324.75,10.23
Barren,Cu 324.75,10.01
Cabeza puntual retorno,Cu 324.75,10.36
Celda # 11-A,Cu 324.75,8.067
Celda # 11-B,Cu 324.75,37.93
Celda # 11-C,Cu 324.75,29.33
Celda #5-9,Cu 324.75,0.377
Celda #(F1+F2),Cu 324.75,2.964
NE Tubo 1,Cu 324.75,15.5
NE Tubo 2,Cu 324.75,0.822
NE Tubo 4,Cu 324.75,1.651
NE Tubo 5,Cu 324.75,0.489
NE Tubo 6,Cu 324.75,0.324
NE Tubo 7,Cu 324.75,1.914
Puntual Noroeste,Cu 324.75,0.922
Barren Patios,Cu 324.75,9.402
Tubo 3,Cu 324.75,0.984
Especial 1,Cu 324.75,0.04
Especial 2,Cu 324.75,0.006
Especial 3,Cu 324.75,0.132
Especial 4,Cu 324.75,0.09
Especial 5,Cu 324.75,0.035
