Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.895
Cabeza puntual retorno,Cu 324.75,0.89
Celda #(F1+F2),Cu 324.75,0.286
Puntual Noroeste,Cu 324.75,1.034
Tubo 3,Cu 324.75,2.287
Comp. Cola Columna,Cu 324.75,1.145
Barren,Cu 324.75,1.173
Celda # 11-A,Cu 324.75,0.225
Celda # 11-B,Cu 324.75,0.098
Celda # 11-C,Cu 324.75,0.217
Celda # 6-F2,Cu 324.75,0.904
Celda #5-9,Cu 324.75,0.297
NE Tubo 1,Cu 324.75,0.059
NE Tubo 2,Cu 324.75,0.272
NE Tubo 4,Cu 324.75,0.749
NE Tubo 5,Cu 324.75,0.107
NE Tubo 6,Cu 324.75,0.118
NE Tubo 7,Cu 324.75,0.731
Barren Patios,Cu 324.75,1.11
Especial 1,Cu 324.75,0.092
Especial 2,Cu 324.75,0.088
Especial 3,Cu 324.75,1.138
Especial 4,Cu 324.75,1.621
Especial 5,Cu 324.75,0.15
