Sample ID,Analyte Name,Reported Conc (Samp)
PATRON,Cu,40
COLA 24-LCWD-17-2,Cu,4.101
COLA 24-LCWD-17-2-002,Cu,3.875
COLA 24-LCWD-17-3,Cu,4.298
COLA 24-LCWD-17-3-003,Cu,4.101
COLA 24-LCWD-17-4,Cu,50.925
COLA 24-LCWD-17-4-004,Cu,50.624
COLA 24-LCWD-18-1,Cu,9.848
COLA 24-LCWD-18-1-005,Cu,9.401
COLA 24-LCWD-18-1-006,Cu,0.901
COLA 24-LCWD-18-1-007,Cu,0.0001
COLA 24-LCWD-18-2,Cu,10.47
COLA 24-LCWD-18-2-008,Cu,9.477
COLA 24-LCWD-18-3,Cu,5.901
COLA 24-LCWD-18-3-009,Cu,5.992
COLA 24-LCWD-19-1,Cu,5.97
COLA 24-LCWD-19-1-010,Cu,6.061
COLA 24-LCWD-19-2,Cu,4.436
COLA 24-LCWD-19-2-011,Cu,4.252
COLA 24-LCWD-19-2-012,Cu,0.901
COLA 24-LCWD-19-2-013,Cu,0.001
PATRON,Ag,5
COLA 24-LCWD-17-2,Ag,1.338
COLA 24-LCWD-17-2-002,Ag,1.158
COLA 24-LCWD-17-3,Ag,1.975
COLA 24-LCWD-17-3-003,Ag,1.926
COLA 24-LCWD-17-4,Ag,20.244
COLA 24-LCWD-17-4-004,Ag,11.2
COLA 24-LCWD-18-1,Ag,1.139
COLA 24-LCWD-18-1-005,Ag,1.025
COLA 24-LCWD-18-1-006,Ag,0.026
COLA 24-LCWD-18-1-007,Ag,0.01
COLA 24-LCWD-18-2,Ag,1.325
COLA 24-LCWD-18-2-008,Ag,1.209
COLA 24-LCWD-18-3,Ag,2.668
COLA 24-LCWD-18-3-009,Ag,2.699
COLA 24-LCWD-19-1,Ag,4.237
COLA 24-LCWD-19-1-010,Ag,4.154
COLA 24-LCWD-19-2,Ag,1.786
COLA 24-LCWD-19-2-011,Ag,1.217
COLA 24-LCWD-19-2-012,Ag,0.04
COLA 24-LCWD-19-2-013,Ag,0.001
PATRON,Au,0.4
COLA 24-LCWD-17-2,Au,0.28
COLA 24-LCWD-17-2-002,Au,0.094
COLA 24-LCWD-17-3,Au,0.025
COLA 24-LCWD-17-3-003,Au,0.032
COLA 24-LCWD-17-4,Au,0.109
COLA 24-LCWD-17-4-004,Au,0.091
COLA 24-LCWD-18-1,Au,0.085
COLA 24-LCWD-18-1-005,Au,0.066
COLA 24-LCWD-18-1-006,Au,0.218
COLA 24-LCWD-18-1-007,Au,0.017
COLA 24-LCWD-18-2,Au,0.046
COLA 24-LCWD-18-2-008,Au,0.069
COLA 24-LCWD-18-3,Au,0.092
COLA 24-LCWD-18-3-009,Au,0.055
COLA 24-LCWD-19-1,Au,0.03
COLA 24-LCWD-19-1-010,Au,0.03
COLA 24-LCWD-19-2,Au,0.023
COLA 24-LCWD-19-2-011,Au,0.021
COLA 24-LCWD-19-2-012,Au,0.227
COLA 24-LCWD-19-2-013,Au,0.001
