Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.203
Comp. Cola Columna,Cu 324.75,1.14
Barren,Cu 324.75,1.206
Cabeza puntual retorno,Cu 324.75,0.919
Celda # 11-A,Cu 324.75,0.143
Celda # 11-B,Cu 324.75,0.11
Celda # 11-C,Cu 324.75,1.237
Celda # 6-F2,Cu 324.75,4.117
Celda #5-9,Cu 324.75,0.067
Celda #(F1+F2),Cu 324.75,0.951
NE Tubo 1,Cu 324.75,0.028
NE Tubo 2,Cu 324.75,0.064
NE Tubo 4,Cu 324.75,0.03
NE Tubo 5,Cu 324.75,0.083
NE Tubo 6,Cu 324.75,0.081
NE Tubo 7,Cu 324.75,0.281
Puntual Noroeste,Cu 324.75,0.162
Barren Patios,Cu 324.75,1.108
Tubo 3,Cu 324.75,0.213
Especial 1,Cu 324.75,0.213
Especial 2,Cu 324.75,0.223
Especial 3,Cu 324.75,0.127
Especial 4,Cu 324.75,0.082
Especial 5,Cu 324.75,0.102
