Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.709
Comp. Cola Columna,Cu 324.75,3.748
Barren,Cu 324.75,3.634
Cabeza puntual retorno,Cu 324.75,2.712
Celda # 11-A,Cu 324.75,25.47
Celda # 11-B,Cu 324.75,0.607
Celda # 11-C,Cu 324.75,0.79
Celda # 6-F2,Cu 324.75,0.7
Celda #5-9,Cu 324.75,1.537
Celda #(F1+F2),Cu 324.75,2.194
NE Tubo 1,Cu 324.75,0.366
NE Tubo 2,Cu 324.75,1.361
NE Tubo 4,Cu 324.75,1.26
NE Tubo 5,Cu 324.75,0.876
NE Tubo 6,Cu 324.75,0.736
NE Tubo 7,Cu 324.75,0.855
Puntual Noroeste,Cu 324.75,2.269
Barren Patios,Cu 324.75,3.277
Tubo 3,Cu 324.75,5.263
Especial 1,Cu 324.75,6.836
Especial 2,Cu 324.75,7.889
Especial 3,Cu 324.75,2.694
Especial 4,Cu 324.75,5.241
Especial 5,Cu 324.75,5.023
Especial 6,Cu 324.75,2.073
