Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.662
Comp. Cola Columna,Cu 324.75,1.415
Barren,Cu 324.75,1.643
Cabeza puntual retorno,Cu 324.75,1.615
Celda # 11-A,Cu 324.75,1.657
Celda # 11-B,Cu 324.75,1.209
Celda # 11-C,Cu 324.75,2.296
Celda # 6-F2,Cu 324.75,0.240
Celda #5-9,Cu 324.75,4.610
Celda #(F1+F2),Cu 324.75,1.661
NE Tubo 1,Cu 324.75,0.174
NE Tubo 2,Cu 324.75,0.559
NE Tubo 4,Cu 324.75,2.329
NE Tubo 5,Cu 324.75,1.984
NE Tubo 6,Cu 324.75,1.804
NE Tubo 7,Cu 324.75,3.507
Puntual Noroeste,Cu 324.75,1.560
Barren Patios,Cu 324.75,1.557
Tubo 3,Cu 324.75,0.562
Especial 1,Cu 324.75,0.454
Especial 2,Cu 324.75,0.210
Especial 3,Cu 324.75,0.219
Especial 4,Cu 324.75,0.294
Especial 5,Cu 324.75,0.214
