Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.703
Cabeza puntual retorno,Cu 324.75,0.675
Celda #(F1+F2),Cu 324.75,0.839
Puntual Noroeste,Cu 324.75,0.887
Tubo 3,Cu 324.75,0.851
Comp. Cola Columna,Cu 324.75,0.829
Barren,Cu 324.75,0.784
Celda # 11-A,Cu 324.75,0.231
Celda # 11-B,Cu 324.75,0.145
Celda # 11-C,Cu 324.75,0.149
Celda # 6-F2,Cu 324.75,0.102
Celda #5-9,Cu 324.75,0.437
NE Tubo 1,Cu 324.75,0.109
NE Tubo 2,Cu 324.75,0.276
NE Tubo 4,Cu 324.75,0.115
NE Tubo 5,Cu 324.75,0.317
NE Tubo 6,Cu 324.75,2.174
NE Tubo 7,Cu 324.75,3.691
Barren Patios,Cu 324.75,0.854
Especial 1,Cu 324.75,0.225
Especial 2,Cu 324.75,0.124
Especial 3,Cu 324.75,0.241
Especial 4,Cu 324.75,0.285
Especial 5,Cu 324.75,0.178
