Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.718
Comp. Cola Columna,Cu 324.75,0.698
Barren,Cu 324.75,0.769
Cabeza puntual retorno,Cu 324.75,0.722
Celda # 11-A,Cu 324.75,2.174
Celda # 11-B,Cu 324.75,0.103
Celda # 11-C,Cu 324.75,0.098
Celda # 6-F2,Cu 324.75,0.15
Celda #5-9,Cu 324.75,1.385
Celda #(F1+F2),Cu 324.75,0.507
NE Tubo 1,Cu 324.75,0.017
NE Tubo 2,Cu 324.75,0.201
NE Tubo 4,Cu 324.75,2.251
NE Tubo 5,Cu 324.75,1.603
NE Tubo 6,Cu 324.75,0.116
NE Tubo 7,Cu 324.75,0.015
Puntual Noroeste,Cu 324.75,0.575
Barren Patios,Cu 324.75,0.708
Tubo 3,Cu 324.75,0.052
Especial 1,Cu 324.75,1.355
Especial 2,Cu 324.75,2.549
Especial 3,Cu 324.75,0.105
Especial 4,Cu 324.75,0.023
Especial 5,Cu 324.75,1.8
