Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.143
Comp. Cola Columna,Au 242.80,0.006
Barren,Au 242.80,0.017
Cabeza puntual retorno,Au 242.80,0.147
Columna #1,Au 242.80,0.087
Columna #2,Au 242.80,0.053
Columna #3,Au 242.80,0.03
Columna #4,Au 242.80,0.019
Columna #5,Au 242.80,0.005
Celda # 11-A,Au 242.80,0.196
Celda # 11-B,Au 242.80,0.095
Celda # 11-C,Au 242.80,0.035
Celda #5-9,Au 242.80,0.027
Celda #(F1+F2),Au 242.80,0.149
NE Tubo 1,Au 242.80,0.014
NE Tubo 2,Au 242.80,0.082
NE Tubo 4,Au 242.80,0.288
NE Tubo 5,Au 242.80,0.291
NE Tubo 6,Au 242.80,0.233
NE Tubo 7,Au 242.80,0.055
Puntual Noroeste,Au 242.80,0.166
Barren Patios,Au 242.80,0.016
Tubo 3,Au 242.80,0.121
Especial 1,Au 242.80,0.03
Especial 2,Au 242.80,0.035
Especial 3,Au 242.80,0.126
Especial 4,Au 242.80,0.111
Especial 5,Au 242.80,0.033
