Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.108
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.013
Cabeza puntual retorno,Au 242.80,0.105
Columna #1,Au 242.80,0.064
Columna #2,Au 242.80,0.062
Columna #3,Au 242.80,0.035
Columna #4,Au 242.80,0.02
Columna #5,Au 242.80,0.012
Celda # 11-A,Au 242.80,0.038
Celda # 11-B,Au 242.80,0.025
Celda # 11-C,Au 242.80,0.002
Celda #5-9,Au 242.80,0.014
Celda #(F1+F2),Au 242.80,0.116
NE Tubo 1,Au 242.80,-2
NE Tubo 2,Au 242.80,0.119
NE Tubo 4,Au 242.80,0.054
NE Tubo 5,Au 242.80,0.031
NE Tubo 6,Au 242.80,0.073
NE Tubo 7,Au 242.80,0.116
Puntual Noroeste,Au 242.80,0.113
Barren Patios,Au 242.80,0.013
Tubo 3,Au 242.80,0.162
Especial 1,Au 242.80,0.075
Especial 2,Au 242.80,0.032
Especial 3,Au 242.80,0.064
Especial 4,Au 242.80,0.055
Especial 5,Au 242.80,0.028
