Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.363
Cabeza puntual retorno,Cu 324.75,0.342
Celda #(F1+F2),Cu 324.75,0.459
Puntual Noroeste,Cu 324.75,0.356
Tubo 3,Cu 324.75,0.429
NE Tubo 2,Cu 324.75,0.246
NE Tubo 4,Cu 324.75,0.105
Especial 1,Cu 324.75,0.752
Especial 2,Cu 324.75,2.036
Especial 3,Cu 324.75,0.092
Especial 4,Cu 324.75,0.11
Especial 5,Cu 324.75,0.22
Comp. Cola Columna,Cu 324.75,0.339
Barren,Cu 324.75,0.317
Barren Patios,Cu 324.75,0.331
NE Tubo 1,Cu 324.75,0.065
NE Tubo 5,Cu 324.75,0.029
NE Tubo 6,Cu 324.75,0.031
NE Tubo 7,Cu 324.75,1.426
Celda # 11-A,Cu 324.75,0.124
Celda # 11-B,Cu 324.75,0.083
Celda # 11-C,Cu 324.75,0.098
Celda # 6-F2,Cu 324.75,2.139
Celda #5-9,Cu 324.75,1.051
