Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.112
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.015
Cabeza puntual retorno,Au 242.80,0.113
Celda # 11-A,Au 242.80,0.058
Celda # 11-B,Au 242.80,0.025
Celda # 11-C,Au 242.80,0.012
Celda # 6-F2,Au 242.80,0.038
Celda #5-9,Au 242.80,0.023
Celda #(F1+F2),Au 242.80,0.119
NE Tubo 2,Au 242.80,0.12
NE Tubo 4,Au 242.80,0.063
NE Tubo 5,Au 242.80,0.06
NE Tubo 6,Au 242.80,0.119
NE Tubo 7,Au 242.80,0.084
Puntual Noroeste,Au 242.80,0.117
Barren Patios,Au 242.80,0.015
Tubo 3,Au 242.80,0.171
Especial 1,Au 242.80,0.053
Especial 2,Au 242.80,0.035
Especial 3,Au 242.80,0.073
Especial 4,Au 242.80,0.051
Especial 5,Au 242.80,0.035
