Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.535
Comp. Cola Columna,Ag 328.07,0.364
Barren,Ag 328.07,0.362
Cabeza puntual retorno,Ag 328.07,0.531
Columna #1,Ag 328.07,0.542
Columna #2,Ag 328.07,0.51
Columna #3,Ag 328.07,0.474
Columna #4,Ag 328.07,0.424
Columna #5,Ag 328.07,0.36
Celda # 11-A,Ag 328.07,0.086
Celda # 11-B,Ag 328.07,0.02
Celda # 11-C,Ag 328.07,0.935
Celda #5-9,Ag 328.07,5.437
NE Tubo 1,Ag 328.07,0.108
Celda #(F1+F2),Ag 328.07,0.372
NE Tubo 2,Ag 328.07,0.02
NE Tubo 4,Ag 328.07,0.853
NE Tubo 5,Ag 328.07,1.078
NE Tubo 6,Ag 328.07,1.05
NE Tubo 7,Ag 328.07,0.782
Puntual Noroeste,Ag 328.07,0.502
Barren Patios,Ag 328.07,0.349
Tubo 3,Ag 328.07,0.326
Especial 1,Ag 328.07,1.528
Especial 2,Ag 328.07,5.257
Especial 3,Ag 328.07,0.018
Especial 4,Ag 328.07,0.033
Especial 5,Ag 328.07,4.82
