Analyst,JUDAS,,,,
Date Started,13/08/2023,,,,
Worksheet,LC000958-RE_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
13/08/2023,01:00:00 p. m.,PATRON,0.8920,,mg/l
13/08/2023,01:00:00 p. m.,BLANCO,-0.0040,,mg/l
13/08/2023,01:00:00 p. m.,REAGENT BLANK,-0.0080,,mg/l
13/08/2023,01:00:00 p. m.,LC000949-021,0.2637,,mg/l
13/08/2023,01:00:00 p. m.,LC000949-022,0.0013,,mg/l
13/08/2023,01:00:00 p. m.,LC000949-023,0.0443,,mg/l
13/08/2023,01:00:00 p. m.,LC000949-024,0.1257,,mg/l
13/08/2023,01:00:00 p. m.,PATRON,0.8750,,mg/l
,,,,,
,,,,,
