Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.866
Comp. Cola Columna,Cu 324.75,1.174
Barren,Cu 324.75,1.628
Cabeza puntual retorno,Cu 324.75,1.791
Celda # 11-A,Cu 324.75,0.217
Celda # 11-B,Cu 324.75,0.512
Celda # 11-C,Cu 324.75,0.063
Celda # 6-F2,Cu 324.75,3.071
Celda #5-9,Cu 324.75,1.618
Celda #(F1+F2),Cu 324.75,1.739
NE Tubo 1,Cu 324.75,0.049
NE Tubo 2,Cu 324.75,0.811
NE Tubo 4,Cu 324.75,0.114
NE Tubo 5,Cu 324.75,0.228
NE Tubo 6,Cu 324.75,1.091
NE Tubo 7,Cu 324.75,1.014
Puntual Noroeste,Cu 324.75,0.428
Barren Patios,Cu 324.75,1.604
Tubo 3,Cu 324.75,0.256
Especial 1,Cu 324.75,0.330
Especial 2,Cu 324.75,0.057
Especial 3,Cu 324.75,0.068
Especial 4,Cu 324.75,0.109
Especial 5,Cu 324.75,0.209
