Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.099
Comp. Cola Columna,Au 242.80,0.014
Barren,Au 242.80,0.018
Cabeza puntual retorno,Au 242.80,0.108
Celda # 11-A,Au 242.80,0.084
Celda # 11-B,Au 242.80,0.013
Celda # 11-C,Au 242.80,0.026
Celda #5-9,Au 242.80,0.058
Celda #(F1+F2),Au 242.80,0.103
NE Tubo 1,Au 242.80,0.018
NE Tubo 2,Au 242.80,0.092
NE Tubo 4,Au 242.80,0.06
NE Tubo 5,Au 242.80,0.037
NE Tubo 6,Au 242.80,0.031
NE Tubo 7,Au 242.80,0.05
Puntual Noroeste,Au 242.80,0.1
Barren Patios,Au 242.80,0.006
Tubo 3,Au 242.80,0.184
Especial 1,Au 242.80,0.081
Especial 2,Au 242.80,0.063
Especial 3,Au 242.80,0.015
Especial 4,Au 242.80,0.016
Especial 5,Au 242.80,0.066
Columna #1,Au 242.80,0.09
Columna #2,Au 242.80,0.067
Columna #3,Au 242.80,0.051
Columna #4,Au 242.80,0.033
Columna #5,Au 242.80,0.023
