Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.849
Cabeza puntual retorno,Cu 324.75,0.496
Celda #(F1+F2),Cu 324.75,0.822
Puntual Noroeste,Cu 324.75,0.963
Tubo 3,Cu 324.75,2.007
Comp. Cola Columna,Cu 324.75,0.847
Celda # 11-A,Cu 324.75,0.076
Celda # 11-B,Cu 324.75,0.073
Celda # 11-C,Cu 324.75,0.044
Celda # 6-F2,Cu 324.75,0.270
Celda #5-9,Cu 324.75,0.074
NE Tubo 1,Cu 324.75,2.551
NE Tubo 2,Cu 324.75,0.144
NE Tubo 4,Cu 324.75,0.031
NE Tubo 5,Cu 324.75,0.016
NE Tubo 6,Cu 324.75,0.024
NE Tubo 7,Cu 324.75,0.889
Barren Patios,Cu 324.75,0.948
Especial 2,Cu 324.75,0.140
Especial 3,Cu 324.75,0.162
Especial 4,Cu 324.75,0.136
Especial 5,Cu 324.75,0.063
