Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.711
Cabeza puntual retorno,Cu 324.75,0.725
Celda #(F1+F2),Cu 324.75,0.692
Puntual Noroeste,Cu 324.75,0.679
Tubo 3,Cu 324.75,0.303
Comp. Cola Columna,Cu 324.75,0.425
Barren,Cu 324.75,0.476
Celda # 11-A,Cu 324.75,0.556
Celda # 11-B,Cu 324.75,0.299
Celda # 11-C,Cu 324.75,0.011
Celda #5-9,Cu 324.75,3.671
NE Tubo 1,Cu 324.75,0.041
NE Tubo 2,Cu 324.75,0.113
NE Tubo 4,Cu 324.75,0.096
NE Tubo 5,Cu 324.75,0.592
NE Tubo 6,Cu 324.75,2.301
NE Tubo 7,Cu 324.75,3.326
Barren Patios,Cu 324.75,1.046
Especial 1,Cu 324.75,0.344
Especial 2,Cu 324.75,0.060
Especial 3,Cu 324.75,0.074
Especial 4,Cu 324.75,0.130
Especial 5,Cu 324.75,0.245
Columna #1,Cu 324.75,0.672
Columna #2,Cu 324.75,0.593
Columna #4,Cu 324.75,0.505
Columna #5,Cu 324.75,0.480
