Analyst,Judas Orduño,,,,
Date Started,10/06/2023 1:45 AM  GMT: 10/6/2023 1:59 AM,,,,
Worksheet,LC000456_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au ACIDA MINA (Flame),,,,,
,,,,,
10/06/2023,1:45:30 a.m.,PATRON,0.923,,mg/L
10/06/2023,1:46:00 a.m.,BLANCO,0.014,,mg/L
10/06/2023,1:46:30 a.m.,REAGENT BLANK,0.005,,mg/L
10/06/2023,1:47:00 a.m.,LC000456-001,0.0073,,mg/L
10/06/2023,1:47:30 a.m.,LC000456-002,0.0063,,mg/L
10/06/2023,1:48:00 a.m.,LC000456-003,0.0063,,mg/L
10/06/2023,1:48:30 a.m.,LC000456-004,0.0103,,mg/L
10/06/2023,1:49:30 a.m.,LC000456-005,0.126,,mg/L
10/06/2023,1:50:00 a.m.,LC000456-006,0.0053,,mg/L
10/06/2023,1:50:30 a.m.,PATRON,0.919,,mg/L
10/06/2023,1:51:00 a.m.,LC000456-007,0.0016,,mg/L
10/06/2023,1:51:30 a.m.,LC000456-008,0.0023,,mg/L
10/06/2023,1:52:00 a.m.,LC000456-009,0.0053,,mg/L
10/06/2023,1:52:30 a.m.,LC000456-010,0.0069,,mg/L
10/06/2023,1:53:00 a.m.,LC000456-011,0.0049,,mg/L
10/06/2023,1:53:30 a.m.,LC000456-012,0.0023,,mg/L
10/06/2023,1:54:00 a.m.,PATRON,0.8956,,mg/L
10/06/2023,1:54:30 a.m.,LC000456-013,0.0009,,mg/L
10/06/2023,1:55:00 a.m.,LC000456-014,0.0039,,mg/L
10/06/2023,1:55:30 a.m.,LC000456-015,0.0006,,mg/L
10/06/2023,1:56:00 a.m.,LC000456-016,0.0013,,mg/L
10/06/2023,1:56:30 a.m.,LC000456-017,0.0016,,mg/L
10/06/2023,1:57:00 a.m.,LC000456-018,0.0016,,mg/L
10/06/2023,1:57:30 a.m.,PATRON,0.9058,,mg/L
10/06/2023,1:58:00 a.m.,LC000456-019,0.0069,,mg/L
10/06/2023,1:58:30 a.m.,LC000456-020,0.0016,,mg/L
10/06/2023,1:59:00 a.m.,LC000456-021,0.0083,,mg/L
10/06/2023,1:59:30 a.m.,LC000456-022,0.0113,,mg/L
10/06/2023,1:59:35 a.m.,LC000456-023,0.0066,,mg/L
10/06/2023,1:59:40 a.m.,LC000456-024,0.0049,,mg/L
10/06/2023,1:59:55 a.m.,PATRON,0.903,,mg/L
