Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,4.583
Comp. Cola Columna,Cu 324.75,4.591
Barren,Cu 324.75,4.397
Cabeza puntual retorno,Cu 324.75,4.589
Columna #1,Cu 324.75,1.045
Celda # 11-B,Cu 324.75,0.114
Celda # 11-C,Cu 324.75,2.523
Celda #5-9,Cu 324.75,2.709
Celda #(F1+F2),Cu 324.75,4.792
NE Tubo 1,Cu 324.75,0.112
NE Tubo 2,Cu 324.75,0.064
NE Tubo 4,Cu 324.75,1.287
NE Tubo 5,Cu 324.75,11.28
NE Tubo 6,Cu 324.75,3.642
NE Tubo 7,Cu 324.75,17.19
Puntual Noroeste,Cu 324.75,5.349
Tubo 3,Cu 324.75,4.786
Especial 1,Cu 324.75,0.121
Especial 2,Cu 324.75,0.031
Especial 3,Cu 324.75,0.294
Especial 4,Cu 324.75,1.519
Especial 5,Cu 324.75,1.314
Especial 6,Cu 324.75,2.894
Columna #1,Cu 324.75,4.806
Columna #2,Cu 324.75,4.807
Columna #3,Cu 324.75,4.733
Columna #4,Cu 324.75,4.751
Columna #5,Cu 324.75,4.92
