Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.387
Cabeza puntual retorno,Cu 324.75,0.372
Celda #(F1+F2),Cu 324.75,0.276
Puntual Noroeste,Cu 324.75,0.236
Tubo 3,Cu 324.75,0.112
NE Tubo 2,Cu 324.75,1.705
NE Tubo 4,Cu 324.75,0.041
Especial 1,Cu 324.75,0.046
Especial 2,Cu 324.75,0.029
Especial 3,Cu 324.75,0.066
Especial 4,Cu 324.75,0.074
Especial 5,Cu 324.75,0.36
Columna #1,Cu 324.75,0.339
Columna #2,Cu 324.75,0.324
Columna #3,Cu 324.75,0.311
Columna #4,Cu 324.75,0.32
Columna #5,Cu 324.75,0.329
Comp. Cola Columna,Cu 324.75,0.315
Barren,Cu 324.75,0.364
Barren Patios,Cu 324.75,0.332
NE Tubo 1,Cu 324.75,0.029
NE Tubo 5,Cu 324.75,0.018
NE Tubo 6,Cu 324.75,0.02
NE Tubo 7,Cu 324.75,0.25
Celda # 11-A,Cu 324.75,0.146
Celda # 11-B,Cu 324.75,0.79
Celda # 11-C,Cu 324.75,0.308
Celda #5-9,Cu 324.75,0.24
