Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.352
Comp. Cola Columna,Cu 324.75,0.441
Barren,Cu 324.75,0.409
Cabeza puntual retorno,Cu 324.75,0.31
Celda # 11-A,Cu 324.75,0.092
Celda # 11-B,Cu 324.75,0.052
Celda # 11-C,Cu 324.75,0.214
Celda #5-9,Cu 324.75,2.153
Celda #(F1+F2),Cu 324.75,0.259
NE Tubo 1,Cu 324.75,0.017
NE Tubo 2,Cu 324.75,0.158
NE Tubo 4,Cu 324.75,0.256
NE Tubo 5,Cu 324.75,0.127
NE Tubo 6,Cu 324.75,0.137
NE Tubo 7,Cu 324.75,0.125
Puntual Noroeste,Cu 324.75,0.295
Barren Patios,Cu 324.75,0.174
Tubo 3,Cu 324.75,0.038
Especial 1,Cu 324.75,0.114
Especial 2,Cu 324.75,0.044
Especial 3,Cu 324.75,0.117
Especial 4,Cu 324.75,0.147
Especial 5,Cu 324.75,0.154
Especial 6,Cu 324.75,0.036
Columna #1,Cu 324.75,0.284
Columna #2,Cu 324.75,0.312
Columna #3,Cu 324.75,0.321
Columna #4,Cu 324.75,0.344
Columna #5,Cu 324.75,0.361
