Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.122
Comp. Cola Columna,Cu 324.75,2.169
Barren,Cu 324.75,2.186
Cabeza puntual retorno,Cu 324.75,2.13
Celda # 11-A,Cu 324.75,8.495
Celda # 11-B,Cu 324.75,2.82
Celda # 11-C,Cu 324.75,0.728
Celda #5-9,Cu 324.75,2.181
Celda #(F1+F2),Cu 324.75,1.752
NE Tubo 1,Cu 324.75,0.112
NE Tubo 2,Cu 324.75,2.408
NE Tubo 4,Cu 324.75,2.63
NE Tubo 5,Cu 324.75,1.398
NE Tubo 6,Cu 324.75,1.207
NE Tubo 7,Cu 324.75,1.414
Puntual Noroeste,Cu 324.75,1.583
Barren Patios,Cu 324.75,1.508
Tubo 3,Cu 324.75,0.458
Especial 1,Cu 324.75,0.324
Especial 2,Cu 324.75,0.14
Especial 3,Cu 324.75,1.224
Especial 4,Cu 324.75,1.039
Especial 5,Cu 324.75,0.38
Columna #1,Cu 324.75,1.646
Columna #2,Cu 324.75,1.626
Columna #3,Cu 324.75,1.547
Columna #4,Cu 324.75,1.6
Columna #5,Cu 324.75,1.654
