Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.052
Celda # 11-A,Au 242.80,0.077
Celda # 11-B,Au 242.80,0.04
Celda # 11-C,Au 242.80,0.053
Celda #5-9,Au 242.80,0.065
Celda #(F1+F2),Au 242.80,0.046
NE Tubo 2,Au 242.80,0.096
NE Tubo 4,Au 242.80,0.061
Puntual Noroeste,Au 242.80,0.051
Comp. Cola Columna,Au 242.80,0.001
Cabeza puntual retorno,Au 242.80,0.055
Columna #1,Au 242.80,0.055
Columna #2,Au 242.80,0.045
Columna #4,Au 242.80,0.025
Columna #5,Au 242.80,0.009
Columna #3,Au 242.80,0.028
NE Tubo 1,Au 242.80,0.009
NE Tubo 5,Au 242.80,0.044
NE Tubo 6,Au 242.80,0.061
Barren,Au 242.80,0.006
Barren Patios,Au 242.80,0.008
Tubo 3,Au 242.80,0.052
Especial 2,Au 242.80,0.082
Especial 3,Au 242.80,0.029
Especial 5,Au 242.80,0.075
Especial 6,Au 242.80,0.004
Especial 4,Au 242.80,0.013
NE Tubo 7,Au 242.80,0.027
Especial 1,Au 242.80,0.128
