Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,0.368
Comp. Cola Columna,Cu 324.75,0.189
Barren,Cu 324.75,0.207
Cabeza puntual retorno,Cu 324.75,0.392
Celda # 11-A,Cu 324.75,0.164
Celda # 11-B,Cu 324.75,0.085
Celda # 11-C,Cu 324.75,0.033
Celda #5-9,Cu 324.75,0.048
Celda #(F1+F2),Cu 324.75,0.402
NE Tubo 1,Cu 324.75,0.039
NE Tubo 2,Cu 324.75,0.168
NE Tubo 4,Cu 324.75,0.174
NE Tubo 5,Cu 324.75,0.113
NE Tubo 6,Cu 324.75,0.627
NE Tubo 7,Cu 324.75,0.987
Puntual Noroeste,Cu 324.75,0.462
Tubo 3,Cu 324.75,0.691
Especial 1,Cu 324.75,0.112
Especial 2,Cu 324.75,0.034
Especial 3,Cu 324.75,0.158
Especial 4,Cu 324.75,0.256
Especial 5,Cu 324.75,0.072
Especial 6,Cu 324.75,0.44
