Analista,JCAN,,,,,,,
Fecha de inicio,7/9/2022 3:27 AM  GMT: 7/9/2022 8:27 AM,,,,,,,
Hoja de trabajo,SA000046_6,,,,,,,
Comentario,,,,,,,,
Métodos,Ag,,,,,,,
,,,,,,,,
Método: Ag VHAA-Ag (Llama),,,,,,,,
,,,,,,,,
,PATRON,1.0095,,mg/L,0.1122,0.1123,0.1127,0.1116
,BLANCO,0.0005,,mg/L,0.0001,0.0004,0,-0.0002
,BLANCO REACTIVO,0,,mg/L,0.0002,0.0009,-0.0003,0
,SA000046-001,1.1458,,mg/L,0.0052,0.0054,0.0053,0.0049
,SA000046-002,-0.025,,mg/L,-0.0001,0.0002,-0.0005,-0.0001
,SA000046-003,1.477,,mg/L,0.0066,0.0067,0.0069,0.0063
,SA000046-004,2.7401,,mg/L,0.0125,0.0127,0.0123,0.0124
,SA000046-005,7.6447,,mg/L,0.0349,0.0348,0.0351,0.0347
,SA000046-006,1.2686,,mg/L,0.0058,0.0058,0.0062,0.0054
,SA000046-007,0.0133,,mg/L,0.0001,0,0.0002,0
,SA000046-008,1.9768,,mg/L,0.009,0.0092,0.0085,0.0092
,SA000046-009,6.0502,,mg/L,0.0273,0.0278,0.0269,0.027
,SA000046-010,2.1635,,mg/L,0.0099,0.01,0.0103,0.0094
,PATRON,1.0173,,mg/L,0.1131,0.114,0.1127,0.1125
,BLANCO,-0.0001,,mg/L,0,-0.0001,-0.0004,0.0005
,BLANCO REACTIVO,0,,mg/L,0.0004,0.001,0.0002,-0.0001
,SA000046-011,3.8464,,mg/L,0.0175,0.017,0.0177,0.0177
,SA000046-012,13.7693,,mg/L,0.0623,0.0626,0.062,0.0624
,SA000046-013,1.9599,,mg/L,0.0088,0.0089,0.0094,0.0083
,SA000046-014,1.4373,,mg/L,0.0065,0.0061,0.0065,0.0069
,SA000046-015,7.0039,,mg/L,0.0316,0.0314,0.032,0.0315
,SA000046-016,14.4274,,mg/L,0.0655,0.0654,0.0658,0.0654
,SA000046-017,14.5005,,mg/L,0.065,0.0658,0.0645,0.0649
,SA000046-018,0.0841,,mg/L,0.0004,0.0002,0.0005,0.0005
,SA000046-019,1.382,,mg/L,0.0063,0.0063,0.0067,0.0058
,SA000046-020,2.0852,,mg/L,0.0095,0.0095,0.0096,0.0093
,PATRON,1.0115,,mg/L,0.1124,0.1134,0.1118,0.112
,BLANCO,0.0008,,mg/L,0.0001,-0.0002,0.0012,-0.0006
,BLANCO REACTIVO,0,,mg/L,0.0003,0.0002,0.0007,-0.0001
,SA000046-021,1.459,,mg/L,0.0066,0.0065,0.0064,0.0068
,SA000046-022,1.1426,,mg/L,0.0052,0.0048,0.0054,0.0055
,SA000046-023,1.2233,,mg/L,0.0055,0.0057,0.0054,0.0055
,SA000046-024,0.8787,,mg/L,0.0041,0.0039,0.0042,0.0041
,SA000046-025,2.1808,,mg/L,0.01,0.0096,0.0098,0.0105
,SA000046-026,0.0695,,mg/L,0.0003,0.001,0.0002,-0.0003
,SA000046-027,7.0401,,mg/L,0.0322,0.032,0.0325,0.0322
,SA000046-028,6.5408,,mg/L,0.0296,0.0292,0.0294,0.0302
,SA000046-029,5.9226,,mg/L,0.0272,0.0269,0.0269,0.0277
,SA000046-030,5.9147,,mg/L,0.027,0.0264,0.0275,0.027
,PATRON,1.0218,,mg/L,0.1136,0.1141,0.1127,0.1139
,BLANCO,0.0001,,mg/L,0,-0.0001,-0.0001,0.0002
,BLANCO REACTIVO,0,,mg/L,0.0002,0.0004,-0.0002,0.0003
,SA000046-031,1.8025,,mg/L,0.0081,0.0085,0.0077,0.0082
,SA000046-032,2.1169,,mg/L,0.0096,0.0093,0.0092,0.0102
,SA000046-033,3.4628,,mg/L,0.0158,0.0158,0.0155,0.0162
,SA000046-034,8.7765,,mg/L,0.0396,0.0397,0.0394,0.0397
,SA000046-035,0.1317,,mg/L,0.0006,0.0004,0.0003,0.0011
