Analyst,,,,,
Date Started,4/29/2023 12:17 AM  GMT: 4/29/2023 7:17 AM,,,,
Worksheet,LC000559_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
6/24/2023,01:11:24 a. m.,PATRON,0.912,,mg/L
6/24/2023,01:11:38 a. m.,BLANCO,0.010,,mg/L
6/24/2023,01:11:52 a. m.,REAGENT BLANK,0.006,,mg/L
6/24/2023,01:12:06 a. m.,LC000559-001,0.079,,mg/L
6/24/2023,01:12:18 a. m.,LC000559-002,0.050,,mg/L
6/24/2023,01:12:30 a. m.,LC000559-003,0.026,,mg/L
6/24/2023,01:12:46 a. m.,LC000559-004,0.008,,mg/L
6/24/2023,01:12:56 a. m.,LC000559-005,0.001,,mg/L
6/24/2023,01:11:24 a. m.,LC000559-006,0.002,,mg/L
6/24/2023,01:11:38 a. m.,PATRON,0.904,,mg/L
6/24/2023,01:11:24 a. m.,LC000559-007,0.006,,mg/L
6/24/2023,01:11:38 a. m.,LC000559-008,0.011,,mg/L
6/24/2023,01:11:52 a. m.,LC000559-009,0.013,,mg/L
6/24/2023,01:12:06 a. m.,LC000559-010,0.028,,mg/L
6/24/2023,01:12:18 a. m.,LC000559-011,0.061,,mg/L
6/24/2023,01:12:30 a. m.,PATRON,0.294,,mg/L
6/24/2023,01:12:46 a. m.,LC000559-012,0.373,,mg/L
6/24/2023,01:12:56 a. m.,LC000559-013,0.249,,mg/L
6/24/2023,01:11:24 a. m.,LC000559-014,0.546,,mg/L
6/24/2023,01:11:38 a. m.,LC000559-015,0.622,,mg/L
6/24/2023,01:11:24 a. m.,LC000559-016,1.086,,mg/L
6/24/2023,01:11:38 a. m.,LC000559-017,0.277,,mg/L
6/24/2023,01:11:52 a. m.,LC000559-018,0.317,,mg/L
6/24/2023,01:12:06 a. m.,PATRON,0.908,,mg/L
6/24/2023,01:12:18 a. m.,LC000559-019,0.996,,mg/L
6/24/2023,01:12:30 a. m.,LC000559-020,1.108,,mg/L
6/24/2023,01:12:46 a. m.,LC000559-021,0.241,,mg/L
6/24/2023,01:12:56 a. m.,LC000559-022,0.082,,mg/L
6/24/2023,01:11:24 a. m.,LC000559-023,0.090,,mg/L
6/24/2023,01:11:38 a. m.,LC000559-024,0.469,,mg/L
6/24/2023,01:11:24 a. m.,PATRON,0.904,,mg/L
,,,,,
Method: Au ALTA (Flame),,,,,
