Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,1.471
Cabeza puntual retorno,Cu 324.75,1.541
Celda #(F1+F2),Cu 324.75,1.665
Puntual Noroeste,Cu 324.75,0.538
Tubo 3,Cu 324.75,0.273
NE Tubo 2,Cu 324.75,0.408
NE Tubo 4,Cu 324.75,0.092
Especial 1,Cu 324.75,0.124
Especial 2,Cu 324.75,0.438
Especial 3,Cu 324.75,0.069
Especial 4,Cu 324.75,0.05
Especial 5,Cu 324.75,1.502
Comp. Cola Columna,Cu 324.75,1.945
Barren,Cu 324.75,1.631
Barren Patios,Cu 324.75,1.589
NE Tubo 1,Cu 324.75,5.676
NE Tubo 5,Cu 324.75,0.036
NE Tubo 6,Cu 324.75,1.32
NE Tubo 7,Cu 324.75,0.097
Celda # 11-A,Cu 324.75,1.627
Celda # 11-B,Cu 324.75,0.268
Celda # 11-C,Cu 324.75,0.473
Celda # 6-F2,Cu 324.75,10.43
Celda #5-9,Cu 324.75,0.28
