Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.155
Comp. Cola Columna,Au 242.80,0.011
Barren,Au 242.80,0.015
Cabeza puntual retorno,Au 242.80,0.154
Celda # 11-A,Au 242.80,0.111
Celda # 11-B,Au 242.80,0.022
Celda # 11-C,Au 242.80,0.01
Celda # 6-F2,Au 242.80,0.032
Celda #5-9,Au 242.80,0.027
Celda #(F1+F2),Au 242.80,0.162
NE Tubo 1,Au 242.80,0.005
NE Tubo 2,Au 242.80,0.183
NE Tubo 4,Au 242.80,0.139
NE Tubo 5,Au 242.80,0.141
NE Tubo 6,Au 242.80,0.201
NE Tubo 7,Au 242.80,0.05
Puntual Noroeste,Au 242.80,0.163
Barren Patios,Au 242.80,0.013
Tubo 3,Au 242.80,0.194
Especial 1,Au 242.80,0.016
Especial 2,Au 242.80,0.059
Especial 3,Au 242.80,0.182
Especial 4,Au 242.80,0.043
Especial 5,Au 242.80,0.048
Especial 6,Au 242.80,0.006
