Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.309
Comp. Cola Columna,Cu 324.75,0.291
Barren,Cu 324.75,0.262
Cabeza puntual retorno,Cu 324.75,0.296
Celda # 11-A,Cu 324.75,0.034
Celda # 11-B,Cu 324.75,0.067
Celda # 11-C,Cu 324.75,0.102
Celda # 6-F2,Cu 324.75,0.120
Celda #5-9,Cu 324.75,0.553
Celda #(F1+F2),Cu 324.75,0.330
NE Tubo 1,Cu 324.75,0.020
NE Tubo 2,Cu 324.75,0.053
NE Tubo 4,Cu 324.75,0.035
NE Tubo 5,Cu 324.75,0.027
NE Tubo 6,Cu 324.75,0.063
NE Tubo 7,Cu 324.75,0.077
Puntual Noroeste,Cu 324.75,0.352
Barren Patios,Cu 324.75,0.317
Tubo 3,Cu 324.75,1.125
Especial 1,Cu 324.75,0.035
Especial 2,Cu 324.75,0.020
Especial 3,Cu 324.75,0.064
Especial 4,Cu 324.75,1.217
Especial 5,Cu 324.75,0.048
