Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.196
Cabeza puntual retorno,Au 242.80,0.199
Celda #(F1+F2),Au 242.80,0.199
Puntual Noroeste,Au 242.80,0.074
Tubo 3,Au 242.80,0.038
NE Tubo 2,Au 242.80,0.212
NE Tubo 4,Au 242.80,0.04
Especial 1,Au 242.80,0.515
Especial 2,Au 242.80,0.098
Especial 3,Au 242.80,0.033
Especial 4,Au 242.80,0.013
Especial 5,Au 242.80,0.433
Columna #1,Au 242.80,0.1
Columna #2,Au 242.80,0.067
Columna #3,Au 242.80,0.028
Columna #4,Au 242.80,0.008
Columna #5,Au 242.80,0.007
Comp. Cola Columna,Au 242.80,0.004
Barren,Au 242.80,0.018
Barren Patios,Au 242.80,0.014
NE Tubo 1,Au 242.80,0.69
NE Tubo 5,Au 242.80,0.016
NE Tubo 6,Au 242.80,0.017
NE Tubo 7,Au 242.80,0.013
Celda # 11-A,Au 242.80,0.043
Celda # 11-B,Au 242.80,0.016
Celda # 11-C,Au 242.80,0.011
Celda #5-9,Au 242.80,0.103
