Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.143
Cabeza puntual retorno,Au 242.80,0.141
Puntual Noroeste,Au 242.80,0.159
Comp. Cola Columna,Au 242.80,0.01
Barren,Au 242.80,0.015
Celda # 11-A,Au 242.80,0.02
Celda # 11-B,Au 242.80,0.013
Celda # 11-C,Au 242.80,0.017
Celda # 6-F2,Au 242.80,0.135
Celda #5-9,Au 242.80,0.065
Celda #(F1+F2),Au 242.80,0.148
NE Tubo 1,Au 242.80,0.187
NE Tubo 2,Au 242.80,0.113
NE Tubo 4,Au 242.80,0.037
NE Tubo 5,Au 242.80,0.017
NE Tubo 6,Au 242.80,0.031
NE Tubo 7,Au 242.80,0.589
Tubo 3,Au 242.80,0.18
Especial 1,Au 242.80,0.114
Especial 2,Au 242.80,0.072
Especial 3,Au 242.80,0.028
Especial 4,Au 242.80,0.035
Especial 5,Au 242.80,0.048
