Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.452
Cabeza puntual retorno,Cu 324.75,0.435
Celda #(F1+F2),Cu 324.75,0.371
Puntual Noroeste,Cu 324.75,0.31
Tubo 3,Cu 324.75,0.194
NE Tubo 2,Cu 324.75,2.019
NE Tubo 4,Cu 324.75,0.118
Especial 1,Cu 324.75,0.028
Especial 2,Cu 324.75,0.046
Especial 3,Cu 324.75,0.086
Especial 4,Cu 324.75,0.089
Especial 5,Cu 324.75,0.094
Columna #1,Cu 324.75,0.377
Columna #2,Cu 324.75,0.379
Columna #3,Cu 324.75,0.407
Columna #4,Cu 324.75,0.431
Columna #5,Cu 324.75,0.443
Comp. Cola Columna,Cu 324.75,0.41
Barren,Cu 324.75,0.466
Barren Patios,Cu 324.75,0.453
NE Tubo 1,Cu 324.75,0.051
NE Tubo 5,Cu 324.75,0.048
NE Tubo 6,Cu 324.75,0.059
NE Tubo 7,Cu 324.75,0.422
Celda # 11-A,Cu 324.75,0.193
Celda # 11-B,Cu 324.75,1.014
Celda # 11-C,Cu 324.75,0.318
Celda #5-9,Cu 324.75,0.28
