"Analyst",""
"Date Started","3/29/2023 2:51 AM  GMT: 3/29/2023 9:51 AM"
"Worksheet","LC000007_24"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"3/29/2023","3:08:00 AM","PATRON",0.8965,"","mg/L"
"3/29/2023","3:08:24 AM","BLANCO",0.1078,"","mg/L"
"3/29/2023","3:08:36 AM","REAGENT BLANK",0.0000,"","mg/L"
"3/29/2023","3:09:20 AM","LC000007-001",0.4589,"","mg/L"
"3/29/2023","3:09:40 AM","LC000007-002",0.1525,"","mg/L"
"3/29/2023","3:10:04 AM","LC000007-003",0.0957,"","mg/L"
"3/29/2023","3:10:20 AM","LC000007-004",0.1201,"","mg/L"
"3/29/2023","3:10:52 AM","LC000007-005",0.1543,"","mg/L"
"3/29/2023","3:11:20 AM","LC000007-006",0.1406,"","mg/L"
"3/29/2023","3:31:14 AM","PATRON",0.9043,"","mg/L"
"3/29/2023","3:31:40 AM","LC000007-007",0.1684,"","mg/L"
"3/29/2023","3:31:58 AM","LC000007-008",0.3175,"","mg/L"
"3/29/2023","3:32:12 AM","LC000007-009",0.6768,"","mg/L"
"3/29/2023","3:32:28 AM","LC000007-010",0.2922,"","mg/L"
"3/29/2023","3:32:52 AM","LC000007-011",0.2245,"","mg/L"
"3/29/2023","3:33:08 AM","LC000007-012",0.0701,"","mg/L"
"3/29/2023","3:33:56 AM","PATRON",0.9153,"","mg/L"
"3/29/2023","3:34:10 AM","LC000007-013","OVER","R","mg/L"
"3/29/2023","3:34:28 AM","LC000007-014",0.1852,"","mg/L"
"3/29/2023","3:34:48 AM","LC000007-015",0.6521,"","mg/L"
"3/29/2023","3:35:06 AM","LC000007-016",0.2229,"","mg/L"
"3/29/2023","3:35:22 AM","LC000007-017","OVER","R","mg/L"
"3/29/2023","3:35:38 AM","LC000007-018",0.0046,"","mg/L"
"3/29/2023","3:37:12 AM","PATRON",0.8899,"","mg/L"
"3/29/2023","3:37:28 AM","LC000007-019","OVER","R","mg/L"
"3/29/2023","3:37:44 AM","LC000007-020","OVER","R","mg/L"
"3/29/2023","3:38:02 AM","LC000007-021",0.1219,"","mg/L"
"3/29/2023","3:38:20 AM","LC000007-022",0.5778,"","mg/L"
"3/29/2023","3:38:36 AM","LC000007-023",0.0607,"","mg/L"
"3/29/2023","3:38:52 AM","LC000007-024",0.2781,"","mg/L"
"3/29/2023","3:39:12 AM","PATRON",0.8745,"","mg/L"
"3/29/2023","3:39:12 AM","PATRON","","","mg/L"

"Method: Au ALTA (Flame)"


"3/29/2023","3:47:18 AM","LC000007-017",4.9213,"","mg/L"
"3/29/2023","3:47:36 AM","LC000007-019",3.9633,"","mg/L"
"3/29/2023","3:47:52 AM","LC000007-020",4.8602,"","mg/L"
"3/29/2023","3:50:38 AM","LC000007-013",20.4423,"","mg/L"
"3/29/2023","3:50:38 AM","PATRON","","","mg/L"
