Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,4.815
Comp. Cola Columna,Cu 324.75,3.527
Barren,Cu 324.75,3.762
Cabeza puntual retorno,Cu 324.75,4.834
Celda # 11-A,Cu 324.75,24.98
Celda # 11-B,Cu 324.75,36.72
Celda # 11-C,Cu 324.75,22.2
Celda # 6-F2,Cu 324.75,18.38
Celda #5-9,Cu 324.75,0.368
Celda #(F1+F2),Cu 324.75,1.659
NE Tubo 1,Cu 324.75,26.47
NE Tubo 2,Cu 324.75,0.386
NE Tubo 4,Cu 324.75,0.697
NE Tubo 5,Cu 324.75,0.268
NE Tubo 6,Cu 324.75,0.183
NE Tubo 7,Cu 324.75,1.518
Puntual Noroeste,Cu 324.75,0.977
Tubo 3,Cu 324.75,1.412
Especial 1,Cu 324.75,0.055
Especial 2,Cu 324.75,0.022
Especial 3,Cu 324.75,0.063
Especial 4,Cu 324.75,0.09
Especial 5,Cu 324.75,0.1
Especial 6,Cu 324.75,0.06
