Sample ID,Analyte Name,Reported Conc (Samp)
Columna #5,Au 242.80,0.01
Columna #4,Au 242.80,0.017
Columna #2,Au 242.80,0.06
Columna #1,Au 242.80,0.073
Columna #3,Au 242.80,0.039
Comp. Cabeza Columna,Au 242.80,0.087
Cabeza puntual retorno,Au 242.80,0.087
Celda # 11-A,Au 242.80,0.043
Celda #5-9,Au 242.80,0.084
Celda #(F1+F2),Au 242.80,0.059
NE Tubo 2,Au 242.80,0.051
NE Tubo 4,Au 242.80,0.085
NE Tubo 5,Au 242.80,0.05
NE Tubo 6,Au 242.80,0.037
NE Tubo 7,Au 242.80,0.043
Puntual Noroeste,Au 242.80,0.053
Tubo 3,Au 242.80,0.033
Especial 1,Au 242.80,0.279
Especial 2,Au 242.80,0.31
Especial 3,Au 242.80,0.046
Especial 4,Au 242.80,0.097
Especial 5,Au 242.80,0.181
Comp. Cola Columna,Au 242.80,0.011
Barren,Au 242.80,0.013
Celda # 11-B,Au 242.80,0.006
Celda # 11-C,Au 242.80,0.007
NE Tubo 1,Au 242.80,0.002
Barren Patios,Au 242.80,0.018
