Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.061
Comp. Cola Columna,Cu 324.75,1.802
Barren,Cu 324.75,2.27
Cabeza puntual retorno,Cu 324.75,2.033
Celda # 11-A,Cu 324.75,0.15
Celda # 11-B,Cu 324.75,0.042
Celda # 11-C,Cu 324.75,0.054
Celda # 6-F2,Cu 324.75,0.023
Celda #5-9,Cu 324.75,0.807
Celda #(F1+F2),Cu 324.75,2.38
NE Tubo 1,Cu 324.75,0.016
NE Tubo 2,Cu 324.75,0.429
NE Tubo 4,Cu 324.75,1.151
NE Tubo 5,Cu 324.75,0.601
NE Tubo 6,Cu 324.75,8.145
NE Tubo 7,Cu 324.75,1.369
Puntual Noroeste,Cu 324.75,2.413
Barren Patios,Cu 324.75,2.075
Tubo 3,Cu 324.75,2.23
Especial 1,Cu 324.75,0.113
Especial 2,Cu 324.75,0.069
Especial 3,Cu 324.75,0.138
Especial 4,Cu 324.75,0.28
Especial 5,Cu 324.75,0.114
Especial 6,Cu 324.75,0.055
