Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.683
Comp. Cola Columna,Cu 324.75,0.695
Barren,Cu 324.75,0.656
Cabeza puntual retorno,Cu 324.75,0.675
Celda # 11-A,Cu 324.75,0.187
Celda # 11-B,Cu 324.75,0.855
Celda # 11-C,Cu 324.75,0.221
Celda #5-9,Cu 324.75,3.475
Celda #(F1+F2),Cu 324.75,0.688
NE Tubo 1,Cu 324.75,0.076
NE Tubo 2,Cu 324.75,0.839
NE Tubo 4,Cu 324.75,0.038
NE Tubo 5,Cu 324.75,0.055
NE Tubo 6,Cu 324.75,0.075
NE Tubo 7,Cu 324.75,0.869
Puntual Noroeste,Cu 324.75,0.672
Barren Patios,Cu 324.75,0.701
Tubo 3,Cu 324.75,1.115
Especial 1,Cu 324.75,0.203
Especial 2,Cu 324.75,0.153
Especial 3,Cu 324.75,0.106
Especial 4,Cu 324.75,0.17
Especial 5,Cu 324.75,0.778
Columna #1,Cu 324.75,0.594
Columna #2,Cu 324.75,0.568
Columna #3,Cu 324.75,0.493
Columna #5,Cu 324.75,0.471
