Analyst,,,,,
Date Started,4/29/2023 12:17 AM  GMT: 4/29/2023 7:17 AM,,,,
Worksheet,LC000498_24,,,,
Comment,,,,,
Methods,"Au,Au",,,,
,,,,,
Method: Au (Flame),,,,,
,,,,,
4/29/2023,01:11:24 a. m.,PATRON,0.904,,mg/L
4/29/2023,01:11:38 a. m.,BLANCO,0.021,,mg/L
4/29/2023,01:11:52 a. m.,REAGENT BLANK,0.009,,mg/L
4/29/2023,01:12:06 a. m.,LC000498-001,1.305,,mg/L
4/29/2023,01:12:18 a. m.,LC000498-002,1.081,,mg/L
4/29/2023,01:12:30 a. m.,LC000498-003,1.106,,mg/L
4/29/2023,01:12:46 a. m.,LC000498-004,1.062,,mg/L
4/29/2023,01:12:56 a. m.,LC000498-005,0.876,,mg/L
4/29/2023,01:11:24 a. m.,LC000498-006,0.227,,mg/L
4/29/2023,01:11:38 a. m.,PATRON,0.889,,mg/L
4/29/2023,01:11:52 a. m.,LC000498-007,0.053,,mg/L
4/29/2023,01:12:06 a. m.,LC000498-008,0.109,,mg/L
4/29/2023,01:12:18 a. m.,LC000498-009,0.062,,mg/L
4/29/2023,01:12:30 a. m.,LC000498-010,0.141,,mg/L
4/29/2023,01:12:46 a. m.,LC000498-011,0.457,,mg/L
4/29/2023,01:12:56 a. m.,LC000498-012,0.213,,mg/L
4/29/2023,01:11:24 a. m.,PATRON,0.883,,mg/L
4/29/2023,01:11:38 a. m.,LC000498-013,0.216,,mg/L
4/29/2023,01:11:52 a. m.,LC000498-014,0.654,,mg/L
4/29/2023,01:12:06 a. m.,LC000498-015,0.059,,mg/L
4/29/2023,01:12:18 a. m.,LC000498-016,0.004,,mg/L
4/29/2023,01:12:30 a. m.,LC000498-017,0.072,,mg/L
4/29/2023,01:12:46 a. m.,LC000498-018,0.067,,mg/L
4/29/2023,01:12:56 a. m.,PATRON,0.893,,mg/L
4/29/2023,01:11:24 a. m.,LC000498-019,0.828,,mg/L
4/29/2023,01:11:38 a. m.,LC000498-020,0.149,,mg/L
4/29/2023,01:11:52 a. m.,LC000498-021,0.194,,mg/L
4/29/2023,01:12:06 a. m.,LC000498-022,0.191,,mg/L
4/29/2023,01:12:18 a. m.,LC000498-023,0.939,,mg/L
4/29/2023,01:12:30 a. m.,LC000498-024,1.293,,mg/L
4/29/2023,01:12:56 a. m.,PATRON,0.894,,mg/L
,,,,,
Method: Au ALTA (Flame),,,,,
