Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.465
Comp. Cola Columna,Ag 328.07,0.246
Barren,Ag 328.07,0.245
Cabeza puntual retorno,Ag 328.07,0.459
Celda # 11-A,Ag 328.07,0.039
Celda # 11-B,Ag 328.07,0.167
Celda # 11-C,Ag 328.07,0.041
Celda # 6-F2,Ag 328.07,1.17
Celda #5-9,Ag 328.07,0.158
Celda #(F1+F2),Ag 328.07,0.444
NE Tubo 1,Ag 328.07,1.522
NE Tubo 2,Ag 328.07,0.16
NE Tubo 4,Ag 328.07,0.052
NE Tubo 5,Ag 328.07,0.031
NE Tubo 6,Ag 328.07,0.044
NE Tubo 7,Ag 328.07,0.045
Puntual Noroeste,Ag 328.07,0.087
Barren Patios,Ag 328.07,0.218
Tubo 3,Ag 328.07,0.054
Especial 1,Ag 328.07,0.945
Especial 2,Ag 328.07,0.085
Especial 3,Ag 328.07,0.055
Especial 4,Ag 328.07,0.04
Especial 5,Ag 328.07,0.799
