Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,2.143
Comp. Cola Columna,Cu 324.75,1.273
Barren,Cu 324.75,2.285
Cabeza puntual retorno,Cu 324.75,2.075
Celda # 11-A,Cu 324.75,0.118
Celda # 11-B,Cu 324.75,0.8
Celda # 11-C,Cu 324.75,0.09
Celda # 6-F2,Cu 324.75,0.056
Celda #5-9,Cu 324.75,0.911
Celda #(F1+F2),Cu 324.75,2.452
NE Tubo 1,Cu 324.75,0.091
NE Tubo 2,Cu 324.75,0.371
NE Tubo 4,Cu 324.75,0.425
NE Tubo 5,Cu 324.75,0.761
NE Tubo 6,Cu 324.75,9.793
NE Tubo 7,Cu 324.75,3.72
Puntual Noroeste,Cu 324.75,1.998
Barren Patios,Cu 324.75,1.581
Tubo 3,Cu 324.75,1.625
Especial 1,Cu 324.75,0.174
Especial 2,Cu 324.75,0.108
Especial 3,Cu 324.75,0.143
Especial 4,Cu 324.75,0.258
Especial 5,Cu 324.75,0.157
Especial 6,Cu 324.75,0.019
