Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.053
Comp. Cola Columna,Au 242.80,0.008
Barren,Au 242.80,0.006
Cabeza puntual retorno,Au 242.80,0.054
Columna #1,Au 242.80,0.046
Columna #2,Au 242.80,0.037
Columna #3,Au 242.80,0.03
Columna #4,Au 242.80,0.025
Columna #5,Au 242.80,0.006
Celda # 11-A,Au 242.80,0.078
Celda # 11-B,Au 242.80,0.019
Celda # 11-C,Au 242.80,0.076
Celda #5-9,Au 242.80,0.106
Celda #(F1+F2),Au 242.80,0.045
NE Tubo 1,Au 242.80,0.001
NE Tubo 2,Au 242.80,0.084
NE Tubo 4,Au 242.80,0.078
NE Tubo 5,Au 242.80,0.041
NE Tubo 6,Au 242.80,0.052
NE Tubo 7,Au 242.80,0.031
Puntual Noroeste,Au 242.80,0.05
Barren Patios,Au 242.80,0.005
Tubo 3,Au 242.80,0.043
Especial 1,Au 242.80,0.148
Especial 2,Au 242.80,0.103
Especial 3,Au 242.80,0.006
Especial 4,Au 242.80,0.014
Especial 5,Au 242.80,0.083
Especial 6,Au 242.80,0.003
