Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Cu 324.75,0.473
Cabeza puntual retorno,Cu 324.75,0.409
Celda #(F1+F2),Cu 324.75,0.085
Puntual Noroeste,Cu 324.75,0.082
Tubo 3,Cu 324.75,0.055
Comp. Cola Columna,Cu 324.75,0.340
Barren,Cu 324.75,0.377
Celda # 11-A,Cu 324.75,0.136
Celda # 11-B,Cu 324.75,1.564
Celda # 11-C,Cu 324.75,2.898
Celda #5-9,Cu 324.75,0.112
NE Tubo 1,Cu 324.75,0.042
NE Tubo 2,Cu 324.75,0.151
NE Tubo 4,Cu 324.75,0.360
NE Tubo 5,Cu 324.75,0.078
NE Tubo 6,Cu 324.75,0.050
NE Tubo 7,Cu 324.75,0.114
Barren Patios,Cu 324.75,0.462
Especial 1,Cu 324.75,0.057
Especial 2,Cu 324.75,0.069
Especial 3,Cu 324.75,0.082
Especial 4,Cu 324.75,0.085
Especial 5,Cu 324.75,8.996
Columna #1,Cu 324.75,0.444
Columna #2,Cu 324.75,0.454
Columna #3,Cu 324.75,0.482
Columna #4,Cu 324.75,0.505
Columna #5,Cu 324.75,0.508
