Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.098
Cabeza puntual retorno,Au 242.80,0.098
Celda #(F1+F2),Au 242.80,0.062
Comp. Cola Columna,Au 242.80,0.015
Barren,Au 242.80,0.02
Celda # 11-A,Au 242.80,0.048
Celda # 11-B,Au 242.80,0.047
Celda # 11-C,Au 242.80,0.006
Celda #5-9,Au 242.80,0.068
Especial 1,Au 242.80,0.271
Especial 2,Au 242.80,0.318
Especial 3,Au 242.80,0.035
Especial 4,Au 242.80,0.068
Especial 5,Au 242.80,0.229
Columna #1,Au 242.80,0.077
Columna #2,Au 242.80,0.063
Columna #3,Au 242.80,0.037
Columna #4,Au 242.80,0.025
Columna #5,Au 242.80,0.014
NE Tubo 2,Au 242.80,0.029
NE Tubo 4,Au 242.80,0.057
NE Tubo 5,Au 242.80,0.025
NE Tubo 6,Au 242.80,0.03
NE Tubo 7,Au 242.80,0.059
Puntual Noroeste,Au 242.80,0.047
Barren Patios,Au 242.80,0.02
Tubo 3,Au 242.80,0.03
NE Tubo 1,Au 242.80,0.002
