Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Cu 324.75,5.942
Comp. Cola Columna,Cu 324.75,5.410
Barren,Cu 324.75,5.490
Cabeza puntual retorno,Cu 324.75,5.876
Celda # 11-A,Cu 324.75,1.592
Celda # 11-B,Cu 324.75,0.893
Celda # 11-C,Cu 324.75,1.304
Celda # 6-F2,Cu 324.75,0.028
Celda #5-9,Cu 324.75,1.175
Celda #(F1+F2),Cu 324.75,6.584
NE Tubo 1,Cu 324.75,0.025
NE Tubo 2,Cu 324.75,0.071
NE Tubo 4,Cu 324.75,0.792
NE Tubo 5,Cu 324.75,8.976
NE Tubo 6,Cu 324.75,2.032
NE Tubo 7,Cu 324.75,18.78
Puntual Noroeste,Cu 324.75,6.491
Barren Patios,Cu 324.75,0.025
Tubo 3,Cu 324.75,5.403
Especial 1,Cu 324.75,0.073
Especial 2,Cu 324.75,0.024
Especial 3,Cu 324.75,0.228
Especial 4,Cu 324.75,1.197
Especial 5,Cu 324.75,0.116
