Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Cu 324.75,0.810
Columna #2,Cu 324.75,0.819
Columna #3,Cu 324.75,0.775
Columna #4,Cu 324.75,0.797
Columna #5,Cu 324.75,0.791
Comp. Cabeza Columna,Cu 324.75,0.806
Comp. Cola Columna,Cu 324.75,0.811
Barren,Cu 324.75,0.821
Cabeza puntual retorno,Cu 324.75,0.742
Celda # 11-A,Cu 324.75,0.521
Celda # 11-B,Cu 324.75,1.176
Celda # 11-C,Cu 324.75,1.513
Celda #5-9,Cu 324.75,1.999
Celda #(F1+F2),Cu 324.75,0.720
NE Tubo 1,Cu 324.75,0.036
NE Tubo 2,Cu 324.75,0.024
NE Tubo 4,Cu 324.75,0.029
NE Tubo 5,Cu 324.75,0.025
NE Tubo 6,Cu 324.75,0.022
NE Tubo 7,Cu 324.75,0.438
Puntual Noroeste,Cu 324.75,0.599
Tubo 3,Cu 324.75,1.464
Especial 1,Cu 324.75,0.149
Especial 2,Cu 324.75,0.042
Especial 3,Cu 324.75,0.032
Especial 4,Cu 324.75,0.118
Especial 5,Cu 324.75,0.155
