Analista,JCAN,,,,,,,
Fecha de inicio,7/9/2022 12:16 AM  GMT: 7/9/2022 5:16 AM,,,,,,,
Hoja de trabajo,SA000038_6,,,,,,,
Comentario,,,,,,,,
Métodos,Ag,,,,,,,
,,,,,,,,
Método: Ag VHAA-Ag (Llama),,,,,,,,
,,,,,,,,
,PATRON,1.0226,,mg/L,0.1153,0.115,0.1168,0.1142
,BLANCO,0.0018,,mg/L,0.0002,0.0002,0.0001,0.0004
,BLANCO REACTIVO,0,,mg/L,-0.0003,-0.0005,-0.0004,-0.0001
,SA000038-001,2.0524,,mg/L,0.0095,0.0093,0.0096,0.0097
,SA000038-002,2.4162,,mg/L,0.0112,0.0117,0.0107,0.0113
,SA000038-003,1.0468,,mg/L,0.0049,0.0052,0.0051,0.0043
,SA000038-004,1.4348,,mg/L,0.0067,0.0068,0.0067,0.0067
,SA000038-005,1.2508,,mg/L,0.0058,0.0062,0.0056,0.0058
,SA000038-006,2.2164,,mg/L,0.0105,0.0103,0.0101,0.011
,SA000038-007,1.4193,,mg/L,0.0067,0.0065,0.0071,0.0064
,SA000038-008,2.4689,,mg/L,0.0115,0.0113,0.011,0.0122
,SA000038-009,1.3783,,mg/L,0.0064,0.0056,0.0061,0.0076
,SA000038-010,-0.0134,,mg/L,-0.0001,0.0007,-0.0001,-0.0007
,PATRON,0.9912,,mg/L,0.1119,0.1182,0.1029,0.1146
,BLANCO,-0.0031,,mg/L,-0.0004,-0.0012,0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,-0.0006,0,-0.0007,-0.0011
,SA000038-011,4.4078,,mg/L,0.0206,0.0202,0.0205,0.0212
,SA000038-012,1.0469,,mg/L,0.0049,0.0048,0.0052,0.0047
,SA000038-013,0.0922,,mg/L,0.0004,0.0006,0.0007,0
,SA000038-014,23.957,,mg/L,0.1094,0.1087,0.109,0.1104
,SA000038-015,1.3444,,mg/L,0.0063,0.0052,0.0064,0.0072
,SA000038-016,1.8283,,mg/L,0.0086,0.0086,0.009,0.0083
,SA000038-017,3.567,,mg/L,0.0166,0.0161,0.017,0.0166
,SA000038-018,2.1215,,mg/L,0.01,0.0102,0.0103,0.0095
,SA000038-019,1.201,,mg/L,0.0057,0.0053,0.0063,0.0054
,SA000038-020,1.2324,,mg/L,0.0057,0.0051,0.0068,0.0052
,PATRON,1.0078,,mg/L,0.1137,0.1167,0.1095,0.115
,BLANCO,0.005,,mg/L,0.0006,0.0009,0.0006,0.0001
,BLANCO REACTIVO,0,,mg/L,-0.0002,0,-0.0003,-0.0003
,SA000038-021,1.2067,,mg/L,0.0056,0.0059,0.0057,0.0053
,SA000038-022,1.6283,,mg/L,0.0077,0.0087,0.0073,0.007
,SA000038-023,0.3101,,mg/L,0.0015,0.0015,0.0011,0.0017
,SA000038-024,1.6724,,mg/L,0.0078,0.0082,0.0071,0.0082
,SA000038-025,0.0947,,mg/L,0.0004,0.0002,0.0008,0.0003
,SA000038-026,6.0554,,mg/L,0.0282,0.0279,0.0282,0.0284
,SA000038-027,4.5789,,mg/L,0.0215,0.0216,0.0208,0.0222
,SA000038-028,3.4536,,mg/L,0.0163,0.0173,0.0155,0.0162
,SA000038-029,5.9093,,mg/L,0.0273,0.027,0.0277,0.0272
,SA000038-030,1.9592,,mg/L,0.0092,0.0091,0.0094,0.009
,PATRON,1.0228,,mg/L,0.1154,0.1155,0.1145,0.116
