Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.131
Cabeza puntual retorno,Au 242.80,0.131
Celda #(F1+F2),Au 242.80,0.133
Tubo 3,Au 242.80,0.209
Puntual Noroeste,Au 242.80,0.134
Comp. Cola Columna,Au 242.80,0.004
Barren,Au 242.80,0.007
Celda # 11-A,Au 242.80,0.031
Celda # 11-B,Au 242.80,0.01
Celda # 11-C,Au 242.80,0
Celda #5-9,Au 242.80,0.013
NE Tubo 2,Au 242.80,0.078
NE Tubo 4,Au 242.80,0.113
NE Tubo 5,Au 242.80,0.051
NE Tubo 6,Au 242.80,0.051
Especial 7,Au 242.80,0.119
Barren Patios,Au 242.80,0.008
Especial 1,Au 242.80,0.079
Especial 2,Au 242.80,0.036
Especial 3,Au 242.80,0.075
Especial 4,Au 242.80,0.055
Especial 5,Au 242.80,0.024
Columna #1,Au 242.80,0.075
Columna #2,Au 242.80,0.038
Columna #3,Au 242.80,0.021
Columna #4,Au 242.80,0.01
Columna #5,Au 242.80,0.006
