Analista,CFR,,,
Fecha de inicio,15/07/2022 17:04,,,
Hoja de trabajo,SA000082-RE_3,,,
Comentario,,,,
Métodos,Au,,,
,,,,
Método: Au EFAA30 (Llama),,,,
,,,,
Au,PATRON,0.4993,,mg/L
Au,BLANCO,0.001,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000047-007,0.103,,mg/L
Au,SA000047-008,0.038,,mg/L
Au,SA000047-009,0.218,,mg/L
Au,SA000047-012,0.026,,mg/L
Au,SA000047-013,0.066,,mg/L
Au,SA000047-014,1.079,,mg/L
Au,SA000047-015,0.003,,mg/L
Au,SA000047-016,0.02,,mg/L
Au,SA000047-017,0.021,,mg/L
Au,SA000047-018,0.001,,mg/L
Au,PATRON,0.5043,,mg/L
Au,BLANCO,-0.004,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000048-001,0.036,,mg/L
Au,SA000048-002,0.13,,mg/L
Au,SA000048-003,0.205,,mg/L
Au,SA000048-004,0.087,,mg/L
Au,SA000048-005,0.077,,mg/L
Au,SA000048-006,0.687,,mg/L
Au,SA000048-007,0.118,,mg/L
Au,SA000048-008,0.087,,mg/L
Au,SA000048-030,0.473,,mg/L
Au,SA000048-031,0.279,,mg/L
Au,PATRON,0.5043,,mg/L
Au,BLANCO,-0.004,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000048-033,0.427,,mg/L
Au,SA000048-034,0.003,,mg/L
Au,SA000048-036,0.34,,mg/L
Au,SA000048-037,0.201,,mg/L
Au,SA000048-038,0.451,,mg/L
Au,SA000048-056,0.095,,mg/L
Au,SA000048-057,0.439,,mg/L
Au,SA000048-058,0.147,,mg/L
Au,SA000048-060,1.066,,mg/L
Au,SA000049-007,0.569,,mg/L
Au,PATRON,0.4901,,mg/L
Au,BLANCO,-0.0148,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000049-008,0.309,,mg/L
Au,SA000049-011,0.131,,mg/L
Au,SA000049-012,0.14,,mg/L
Au,SA000049-013,0.012,,mg/L
Au,SA000049-014,0.139,,mg/L
Au,SA000049-015,0.511,,mg/L
Au,SA000049-016,0.106,,mg/L
Au,SA000049-017,0.239,,mg/L
Au,SA000049-018,0.269,,mg/L
Au,SA000049-019,0.173,,mg/L
Au,PATRON,0.5043,,mg/L
Au,BLANCO,-0.004,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000049-020,0.085,,mg/L
Au,SA000049-021,0.072,,mg/L
Au,SA000049-022,0.09,,mg/L
Au,SA000049-023,0.346,,mg/L
Au,SA000049-024,5.295,,mg/L
Au,SA000049-025,0.166,,mg/L
Au,SA000049-043,0.344,,mg/L
Au,SA000049-044,0.377,,mg/L
Au,SA000049-045,0.136,,mg/L
Au,SA000049-046,0.125,,mg/L
Au,PATRON,0.5011,,mg/L
Au,BLANCO,0.0103,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000049-047,0.006,,mg/L
Au,SA000049-048,0.225,,mg/L
Au,SA000049-049,0.501,,mg/L
Au,SA000049-050,0.552,,mg/L
Au,SA000049-051,0.548,,mg/L
Au,SA000049-052,0.318,,mg/L
Au,SA000049-053,0.334,,mg/L
Au,SA000049-054,0.009,,mg/L
Au,SA000049-055,0.244,,mg/L
Au,SA000049-056,0.185,,mg/L
Au,PATRON,0.5043,,mg/L
Au,BLANCO,-0.004,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000049-058,0.358,,mg/L
Au,SA000050-025,0.253,,mg/L
Au,SA000050-026,0.375,,mg/L
Au,SA000050-027,0.007,,mg/L
Au,SA000050-028,-0.005,,mg/L
Au,SA000050-030,0.382,,mg/L
Au,SA000050-031,0.347,,mg/L
Au,SA000050-033,0.244,,mg/L
Au,SA000050-036,0.394,,mg/L
Au,SA000050-037,0.388,,mg/L
Au,PATRON,0.5043,,mg/L
Au,BLANCO,-0.004,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000050-038,0.006,,mg/L
Au,SA000050-039,0.663,,mg/L
Au,SA000051-004,0.316,,mg/L
Au,SA000051-005,0.294,,mg/L
Au,SA000051-006,0.338,,mg/L
Au,SA000051-007,0.01,,mg/L
Au,SA000051-008,0.338,,mg/L
Au,SA000051-009,0.21,,mg/L
Au,SA000051-010,0.312,,mg/L
Au,SA000051-011,0.729,,mg/L
Au,PATRON,0.4901,,mg/L
Au,BLANCO,-0.0148,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000051-012,0.612,,mg/L
Au,SA000051-014,0.008,,mg/L
Au,SA000051-015,0.952,,mg/L
Au,SA000051-016,0.446,,mg/L
Au,SA000051-017,0.543,,mg/L
Au,SA000052-001,0.776,,mg/L
Au,SA000052-002,0.415,,mg/L
Au,SA000052-004,0.223,,mg/L
Au,SA000052-005,0.409,,mg/L
Au,SA000052-006,0.343,,mg/L
Au,PATRON,0.4901,,mg/L
Au,BLANCO,-0.0148,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000052-007,0.427,,mg/L
Au,SA000052-031,0.684,,mg/L
Au,SA000052-032,0.323,,mg/L
Au,SA000052-033,0.435,,mg/L
Au,SA000052-034,0.366,,mg/L
Au,SA000052-035,0.008,,mg/L
Au,SA000052-036,0.634,,mg/L
Au,SA000052-039,0.628,,mg/L
Au,SA000053-001,0.056,,mg/L
Au,SA000053-002,0.607,,mg/L
Au,PATRON,0.4901,,mg/L
Au,BLANCO,-0.0148,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000053-003,0.069,,mg/L
Au,SA000053-004,0.1,,mg/L
Au,SA000053-005,0.206,,mg/L
Au,SA000053-014,0.125,,mg/L
Au,SA000053-016,0.232,,mg/L
Au,SA000053-017,0.007,,mg/L
Au,SA000053-018,0.006,,mg/L
Au,SA000053-019,0.075,,mg/L
Au,SA000053-021,0.071,,mg/L
Au,SA000053-022,0.076,,mg/L
Au,PATRON,0.4993,,mg/L
Au,BLANCO,0.001,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000053-024,0.053,,mg/L
Au,SA000053-025,1.107,,mg/L
Au,SA000053-026,0.279,,mg/L
Au,SA000053-027,0.005,,mg/L
Au,SA000053-028,0.046,,mg/L
Au,SA000056-007,0.235,,mg/L
Au,SA000056-008,0.131,,mg/L
Au,SA000056-009,0.496,,mg/L
Au,SA000056-010,0.003,,mg/L
Au,SA000056-011,0.102,,mg/L
Au,PATRON,0.4993,,mg/L
Au,BLANCO,0.001,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000056-012,0.107,,mg/L
Au,SA000056-013,0.01,,mg/L
Au,SA000056-014,0.089,,mg/L
Au,SA000056-015,0.274,,mg/L
Au,SA000056-026,0.298,,mg/L
Au,SA000056-027,0.557,,mg/L
Au,SA000056-028,0.13,,mg/L
Au,SA000056-029,0.22,,mg/L
Au,SA000056-030,0.182,,mg/L
Au,SA000056-031,0.61,,mg/L
Au,PATRON,0.5043,,mg/L
Au,BLANCO,-0.004,,mg/L
Au,BLANCO REACTIVO,0,,mg/L
Au,SA000056-032,0.644,,mg/L
Au,SA000056-033,0.182,,mg/L
Au,SA000056-034,0.002,,mg/L
Au,SA000056-035,0.496,,mg/L
Au,SA000056-036,0.183,,mg/L
Au,SA000056-038,0.205,,mg/L
Au,SA000056-039,0.103,,mg/L
Au,SA000056-040,0.101,,mg/L
Au,SA000056-041,0.005,,mg/L
Au,SA000056-042,0.236,,mg/L
Au,PATRON,0.5043,,mg/L
Au,BLANCO,-0.004,,mg/L
