Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.059
Comp. Cola Columna,Au 242.80,0.008
Barren,Au 242.80,0.01
Cabeza puntual retorno,Au 242.80,0.061
Celda # 11-A,Au 242.80,0.022
Celda # 11-B,Au 242.80,0.016
Celda # 11-C,Au 242.80,0.022
Celda # 6-F2,Au 242.80,0.122
Celda #5-9,Au 242.80,0.031
Celda #(F1+F2),Au 242.80,0.061
NE Tubo 1,Au 242.80,0.208
NE Tubo 2,Au 242.80,0.11
NE Tubo 4,Au 242.80,0.049
NE Tubo 5,Au 242.80,0.041
NE Tubo 6,Au 242.80,0.049
NE Tubo 7,Au 242.80,0.022
Puntual Noroeste,Au 242.80,0.061
Barren Patios,Au 242.80,0.004
Tubo 3,Au 242.80,0.049
Especial 1,Au 242.80,0.076
Especial 2,Au 242.80,0.042
Especial 3,Au 242.80,0.004
Especial 4,Au 242.80,0.007
Especial 5,Au 242.80,0.014
